candidate_id,rank,score,reasoning
CAND_0006567,1,1.5,"Demonstrates solid production experience in Search Backend, NLP, Ranking Systems over a 7.9-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0011687,2,1.5,"Strong fit with 7.8 years of experience as a Senior NLP Engineer with expertise in OpenSearch, FAISS, PEFT. Great engagement profile (89% response rate) and located in Indore, Madhya Pradesh."
CAND_0018549,3,1.5,"Demonstrates solid production experience in Weaviate, Elasticsearch, Qdrant over a 6.8-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0022127,4,1.5,"Strong fit with 5.5 years of experience as a Computer Vision Engineer with expertise in Elasticsearch, Machine Learning, Sentence Transformers. Great engagement profile (86% response rate) and located in Kolkata, West Bengal."
CAND_0041669,5,1.5,"Strong fit with 8.0 years of experience as a Recommendation Systems Engineer with expertise in FAISS, Milvus, PEFT. Great engagement profile (77% response rate) and located in Noida, Uttar Pradesh."
CAND_0046064,6,1.5,"Strong fit with 8.9 years of experience as a Senior NLP Engineer with expertise in Pinecone, OpenSearch, PEFT. Great engagement profile (78% response rate) and located in Coimbatore, Tamil Nadu."
CAND_0046525,7,1.5,"Matches founding team needs with 6.1 years of experience. Handled Elasticsearch, Machine Learning, Information Retrieval in past roles at product companies; strong candidate active in Pune, Maharashtra."
CAND_0061257,8,1.5,"Demonstrates solid production experience in PEFT, Machine Learning, Information Retrieval Systems over a 8.0-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0061265,9,1.5,"Strong fit with 6.6 years of experience as a Recommendation Systems Engineer with expertise in Qdrant, Vector Search, Hugging Face Transformers. Great engagement profile (94% response rate) and located in Delhi, Delhi."
CAND_0062247,10,1.5,"Demonstrates solid production experience in Pinecone, Vector Search, Qdrant over a 7.3-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0067866,11,1.5,"Demonstrates solid production experience in Embeddings, Elasticsearch, LoRA over a 6.4-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0071974,12,1.5,"Matches founding team needs with 7.8 years of experience. Handled LoRA, Weaviate, PEFT in past roles at product companies; strong candidate active in Vizag, Andhra Pradesh."
CAND_0079387,13,1.5,"Matches founding team needs with 6.9 years of experience. Handled Recommendation Systems, Sentence Transformers, Vector Search in past roles at product companies; strong candidate active in Trivandrum, Kerala."
CAND_0042100,14,1.47,"Matches founding team needs with 7.3 years of experience. Handled Elasticsearch, Recommendation Systems, Semantic Search in past roles at product companies; strong candidate active in Singapore."
CAND_0072547,15,1.4672,"Matches founding team needs with 5.1 years of experience. Handled Machine Learning, Embeddings, NLP in past roles at product companies; strong candidate active in Kolkata, West Bengal."
CAND_0030784,16,1.425,"Matches founding team needs with 4.4 years of experience. Handled Embeddings, RAG, Pinecone in past roles at product companies; strong candidate active in Delhi, Delhi."
CAND_0043693,17,1.4114,"Matches founding team needs with 6.7 years of experience. Handled Weaviate, LLMs, Vector Search in past roles at product companies; strong candidate active in Noida, Uttar Pradesh."
CAND_0005269,18,1.4,"Matches founding team needs with 6.1 years of experience. Handled Information Retrieval, Machine Learning, Hugging Face Transformers in past roles at product companies; strong candidate active in Kochi, Kerala."
CAND_0008425,19,1.4,"Matches founding team needs with 7.8 years of experience. Handled Qdrant, Sentence Transformers, NLP in past roles at product companies; strong candidate active in Kolkata, West Bengal."
CAND_0028793,20,1.4,"Strong fit with 7.2 years of experience as a Search Engineer with expertise in Embeddings, LoRA, Information Retrieval. Great engagement profile (56% response rate) and located in Trivandrum, Kerala."
CAND_0037160,21,1.4,"Strong fit with 6.0 years of experience as a Data Scientist with expertise in LLMs, Weaviate, Vector Search. Great engagement profile (74% response rate) and located in Mumbai, Maharashtra."
CAND_0016659,22,1.3922,"Demonstrates solid production experience in Sentence Transformers, Pinecone, PEFT over a 4.4-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0083852,23,1.3917,"Strong fit with 6.0 years of experience as a Data Scientist with expertise in Qdrant, QLoRA, Pinecone. Great engagement profile (85% response rate) and located in Ahmedabad, Gujarat."
CAND_0024990,24,1.3808,"Demonstrates solid production experience in OpenSearch, NLP, Milvus over a 5.2-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0001475,25,1.38,"Strong fit with 5.8 years of experience as a Data Engineer with expertise in LLMs, PEFT, Recommendation Systems. Great engagement profile (72% response rate) and located in San Francisco."
CAND_0053591,26,1.38,"Strong fit with 5.3 years of experience as a AI Engineer with expertise in Embeddings, Milvus, OpenSearch. Great engagement profile (81% response rate) and located in Toronto."
CAND_0002120,27,1.3789,"Strong fit with 6.5 years of experience as a ML Engineer with expertise in RAG, Hugging Face Transformers, Information Retrieval. Great engagement profile (72% response rate) and located in Berlin."
CAND_0015057,28,1.3775,"Demonstrates solid production experience in Sentence Transformers, Vector Search, Embeddings over a 4.6-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0052706,29,1.3612,"Strong fit with 5.1 years of experience as a AI Research Engineer with expertise in Pinecone, LoRA, Information Retrieval. Great engagement profile (79% response rate) and located in Coimbatore, Tamil Nadu."
CAND_0061674,30,1.3561,"Demonstrates solid production experience in Machine Learning, Embeddings, Qdrant over a 4.7-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0010685,31,1.35,"Strong fit with 6.7 years of experience as a NLP Engineer with expertise in Information Retrieval, Elasticsearch, RAG. Great engagement profile (83% response rate) and located in Kolkata, West Bengal."
CAND_0073504,32,1.3491,"Matches founding team needs with 6.6 years of experience. Handled Elasticsearch, RAG, Vector Search in past roles at product companies; strong candidate active in Gurgaon, Haryana."
CAND_0077261,33,1.3425,"Strong fit with 5.7 years of experience as a AI Specialist with expertise in Hugging Face Transformers, LoRA, Vector Search. Great engagement profile (81% response rate) and located in Chandigarh, Chandigarh."
CAND_0055905,34,1.334,"Demonstrates solid production experience in Elasticsearch, Hugging Face Transformers, LLMs over a 8.1-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0028527,35,1.3311,"Demonstrates solid production experience in Qdrant, NLP, QLoRA over a 5.4-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0033987,36,1.3295,"Demonstrates solid production experience in Recommendation Systems, PEFT, Fine-tuning LLMs over a 6.8-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0012837,37,1.3293,"Demonstrates solid production experience in Vector Search, Weaviate, LLMs over a 6.4-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0020991,38,1.3288,"Demonstrates solid production experience in QLoRA, LoRA, Weaviate over a 4.9-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0059795,39,1.3228,"Strong fit with 5.6 years of experience as a Senior Software Engineer (ML) with expertise in LLMs, Hugging Face Transformers, Machine Learning. Great engagement profile (75% response rate) and located in Mumbai, Maharashtra."
CAND_0049978,40,1.3206,"Matches founding team needs with 6.6 years of experience. Handled Weaviate, LoRA, Recommendation Systems in past roles at product companies; strong candidate active in Trivandrum, Kerala."
CAND_0022463,41,1.3191,"Strong fit with 6.5 years of experience as a Junior ML Engineer with expertise in Sentence Transformers, LoRA, Embeddings. Great engagement profile (73% response rate) and located in Toronto."
CAND_0012805,42,1.3172,"Matches founding team needs with 4.9 years of experience. Handled LoRA, QLoRA, Qdrant in past roles at product companies; strong candidate active in Ahmedabad, Gujarat."
CAND_0060835,43,1.3163,"Matches founding team needs with 6.6 years of experience. Handled FAISS, Weaviate, Sentence Transformers in past roles at product companies; strong candidate active in Bangalore, Karnataka."
CAND_0098454,44,1.3152,"Demonstrates solid production experience in Vector Search, NLP, OpenSearch over a 6.6-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0077956,45,1.3141,"Matches founding team needs with 6.4 years of experience. Handled Milvus, Hugging Face Transformers, Weaviate in past roles at product companies; strong candidate active in Chandigarh, Chandigarh."
CAND_0080465,46,1.313,"Strong fit with 4.2 years of experience as a ML Engineer with expertise in Milvus, Qdrant, QLoRA. Great engagement profile (83% response rate) and located in Toronto."
CAND_0038099,47,1.3081,"Strong fit with 5.4 years of experience as a Junior ML Engineer with expertise in PEFT, Elasticsearch, Semantic Search. Great engagement profile (81% response rate) and located in Bhubaneswar, Odisha."
CAND_0041594,48,1.3058,"Strong fit with 4.3 years of experience as a Computer Vision Engineer with expertise in Vector Search, Hugging Face Transformers, NLP. Great engagement profile (79% response rate) and located in Gurgaon, Haryana."
CAND_0044248,49,1.3051,"Matches founding team needs with 6.9 years of experience. Handled Hugging Face Transformers, Vector Search, Sentence Transformers in past roles at product companies; strong candidate active in Kochi, Kerala."
CAND_0015582,50,1.3024,"Demonstrates solid production experience in Qdrant, Sentence Transformers, Embeddings over a 4.4-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0005311,51,1.3,"Matches founding team needs with 5.7 years of experience. Handled LoRA, Semantic Search, Qdrant in past roles at product companies; strong candidate active in Mumbai, Maharashtra."
CAND_0005649,52,1.3,"Demonstrates solid production experience in Fine-tuning LLMs, Recommendation Systems, QLoRA over a 7.4-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0031593,53,1.3,"Demonstrates solid production experience in Hugging Face Transformers, Recommendation Systems, Embeddings over a 7.8-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0060257,54,1.3,"Strong fit with 5.8 years of experience as a AI Specialist with expertise in Recommendation Systems, Vector Search, Milvus. Great engagement profile (56% response rate) and located in Gurgaon, Haryana."
CAND_0060538,55,1.3,"Matches founding team needs with 5.2 years of experience. Handled OpenSearch, Machine Learning, Embeddings in past roles at product companies; strong candidate active in Pune, Maharashtra."
CAND_0065277,56,1.3,"Demonstrates solid production experience in Vector Search, Milvus, RAG over a 6.3-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0067041,57,1.3,"Demonstrates solid production experience in Milvus, Elasticsearch, Weaviate over a 6.9-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0081852,58,1.3,"Demonstrates solid production experience in Semantic Search, Milvus, Weaviate over a 5.9-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0086151,59,1.3,"Demonstrates solid production experience in Recommendation Systems, Qdrant, OpenSearch over a 7.7-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0092255,60,1.3,"Strong fit with 5.2 years of experience as a ML Engineer with expertise in Machine Learning, Weaviate, Semantic Search. Great engagement profile (38% response rate) and located in Noida, Uttar Pradesh."
CAND_0094400,61,1.3,"Strong fit with 5.5 years of experience as a Computer Vision Engineer with expertise in QLoRA, PEFT, OpenSearch. Great engagement profile (38% response rate) and located in Hyderabad, Telangana."
CAND_0053527,62,1.2999,"Matches founding team needs with 7.0 years of experience. Handled Pinecone, Qdrant, QLoRA in past roles at product companies; strong candidate active in Bangalore, Karnataka."
CAND_0058426,63,1.2943,"Matches founding team needs with 6.5 years of experience. Handled Weaviate, Fine-tuning LLMs, Hugging Face Transformers in past roles at product companies; strong candidate active in Bangalore, Karnataka."
CAND_0080051,64,1.2943,"Strong fit with 5.2 years of experience as a Data Scientist with expertise in NLP, Information Retrieval, PEFT. Great engagement profile (54% response rate) and located in Gurgaon, Haryana."
CAND_0024878,65,1.2922,"Strong fit with 5.7 years of experience as a AI Specialist with expertise in Elasticsearch, NLP, LoRA. Great engagement profile (84% response rate) and located in Vizag, Andhra Pradesh."
CAND_0093401,66,1.2922,"Strong fit with 6.0 years of experience as a AI Specialist with expertise in Embeddings, LoRA, Machine Learning. Great engagement profile (85% response rate) and located in Kolkata, West Bengal."
CAND_0023541,67,1.2896,"Demonstrates solid production experience in Elasticsearch, Hugging Face Transformers, LoRA over a 5.0-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0070514,68,1.2889,"Strong fit with 5.5 years of experience as a AI Specialist with expertise in Pinecone, PEFT, LoRA. Great engagement profile (80% response rate) and located in Bangalore, Karnataka."
CAND_0036121,69,1.2877,"Matches founding team needs with 5.2 years of experience. Handled Embeddings, Vector Search, Machine Learning in past roles at product companies; strong candidate active in Chennai, Tamil Nadu."
CAND_0048558,70,1.284,"Demonstrates solid production experience in Information Retrieval, OpenSearch, Qdrant over a 6.7-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0042441,71,1.2825,"Demonstrates solid production experience in Sentence Transformers, RAG, Semantic Search over a 4.1-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0003841,72,1.2816,"Matches founding team needs with 5.0 years of experience. Handled Pinecone, Fine-tuning LLMs, Recommendation Systems in past roles at product companies; strong candidate active in Pune, Maharashtra."
CAND_0082086,73,1.2791,"Demonstrates solid production experience in FAISS, Pinecone, QLoRA over a 6.0-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0070525,74,1.2769,"Matches founding team needs with 5.4 years of experience. Handled Recommendation Systems, LLMs, Embeddings in past roles at product companies; strong candidate active in Hyderabad, Telangana."
CAND_0004972,75,1.2704,"Matches founding team needs with 6.0 years of experience. Handled Semantic Search, RAG, OpenSearch in past roles at product companies; strong candidate active in Gurgaon, Haryana."
CAND_0073007,76,1.2681,"Strong fit with 5.8 years of experience as a AI Specialist with expertise in Milvus, Embeddings, FAISS. Great engagement profile (83% response rate) and located in Bangalore, Karnataka."
CAND_0043860,77,1.266,"Demonstrates solid production experience in Semantic Search, Information Retrieval, Qdrant over a 6.1-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0007567,78,1.2627,"Matches founding team needs with 6.1 years of experience. Handled Fine-tuning LLMs, NLP, LLMs in past roles at product companies; strong candidate active in Kochi, Kerala."
CAND_0036655,79,1.2622,"Matches founding team needs with 6.6 years of experience. Handled Vector Search, Information Retrieval, QLoRA in past roles at product companies; strong candidate active in Bangalore, Karnataka."
CAND_0024147,80,1.2605,"Demonstrates solid production experience in Qdrant, Recommendation Systems, OpenSearch over a 5.9-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0073883,81,1.2605,"Strong fit with 5.3 years of experience as a AI Specialist with expertise in PEFT, Hugging Face Transformers, Vector Search. Great engagement profile (92% response rate) and located in Chandigarh, Chandigarh."
CAND_0051003,82,1.2591,"Demonstrates solid production experience in QLoRA, Embeddings, LoRA over a 4.0-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0099965,83,1.2577,"Strong fit with 4.6 years of experience as a Junior ML Engineer with expertise in Semantic Search, OpenSearch, LoRA. Great engagement profile (88% response rate) and located in Kochi, Kerala."
CAND_0013702,84,1.255,"Matches founding team needs with 7.8 years of experience. Handled LLMs, FAISS, Recommendation Systems in past roles at product companies; strong candidate active in Chennai, Tamil Nadu."
CAND_0089381,85,1.255,"Strong fit with 6.0 years of experience as a Computer Vision Engineer with expertise in Sentence Transformers, Pinecone, Milvus. Great engagement profile (81% response rate) and located in Vizag, Andhra Pradesh."
CAND_0021491,86,1.2526,"Strong fit with 6.1 years of experience as a AI Research Engineer with expertise in Recommendation Systems, Vector Search, LoRA. Great engagement profile (61% response rate) and located in Bhubaneswar, Odisha."
CAND_0076412,87,1.2526,"Strong fit with 5.8 years of experience as a AI Research Engineer with expertise in Hugging Face Transformers, Semantic Search, Pinecone. Great engagement profile (54% response rate) and located in Noida, Uttar Pradesh."
CAND_0066690,88,1.25,"Demonstrates solid production experience in Hugging Face Transformers, Sentence Transformers, Semantic Search over a 4.8-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0069773,89,1.25,"Strong fit with 6.0 years of experience as a AI Research Engineer with expertise in Sentence Transformers, LLMs, Qdrant. Great engagement profile (28% response rate) and located in Kochi, Kerala."
CAND_0068932,90,1.2462,"Matches founding team needs with 5.2 years of experience. Handled Milvus, RAG, OpenSearch in past roles at product companies; strong candidate active in Noida, Uttar Pradesh."
CAND_0081480,91,1.2462,"Demonstrates solid production experience in Recommendation Systems, Vector Search, Fine-tuning LLMs over a 5.6-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0004402,92,1.2459,"Matches founding team needs with 6.0 years of experience. Handled OpenSearch, PEFT, Qdrant in past roles at product companies; strong candidate active in Delhi, Delhi."
CAND_0055960,93,1.2419,"Matches founding team needs with 4.9 years of experience. Handled Machine Learning, Qdrant, LLMs in past roles at product companies; strong candidate active in San Francisco."
CAND_0028287,94,1.2412,"Demonstrates solid production experience in RAG, OpenSearch, Vector Search over a 5.7-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0044890,95,1.2397,"Matches founding team needs with 5.0 years of experience. Handled FAISS, LLMs, LoRA in past roles at product companies; strong candidate active in Bhubaneswar, Odisha."
CAND_0010603,96,1.2386,"Matches founding team needs with 5.3 years of experience. Handled Information Retrieval, OpenSearch, Machine Learning in past roles at product companies; strong candidate active in Bangalore, Karnataka."
CAND_0033179,97,1.2354,"Strong fit with 6.9 years of experience as a AI Research Engineer with expertise in Hugging Face Transformers, OpenSearch, Fine-tuning LLMs. Great engagement profile (84% response rate) and located in Ahmedabad, Gujarat."
CAND_0026716,98,1.2353,"Matches founding team needs with 5.6 years of experience. Handled Fine-tuning LLMs, Weaviate, Pinecone in past roles at product companies; strong candidate active in Trivandrum, Kerala."
CAND_0060303,99,1.2326,"Demonstrates solid production experience in Semantic Search, RAG, LoRA over a 4.9-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0073675,100,1.2319,"Matches founding team needs with 6.4 years of experience. Handled Semantic Search, Information Retrieval, NLP in past roles at product companies; strong candidate active in Kolkata, West Bengal."
